size;patch;nprocs;time
800;1;16;5.177.733.509.801.320
800;1;16;48.679.752.216.208.700
800;1;16;49.604.969.315.230.800
800;2;16;12.208.631.441.928.400
800;2;16;12.400.218.938.011.600
800;2;16;1.267.593.849.496.910
800;3;16;5.231.156.553.607.430
800;3;16;5.173.088.782.932.600
800;3;16;530.134.785.734.117
800;4;16;2.795.454.104.896.630
800;4;16;28.061.751.988.716.400
800;4;16;2.743.914.455.641.060
800;5;16;17.844.559.531.658.800
800;5;16;1.795.137.454.289.940
800;5;16;1.754.671.474.918.720
800;6;16;12.681.594.076.566.300
800;6;16;12.242.525.001.056.400
800;6;16;12.942.032.269.202.100
800;7;16;10.078.809.931.874.200
800;7;16;10.316.235.939.972.100
800;7;16;10.379.106.737.673.200
800;8;16;0.8636039649136364
800;8;16;0.8836448309011757
800;8;16;0.8675666828639805
800;9;16;0.8217232823371887
800;9;16;0.8141451748088002
800;9;16;0.8879383755847812
800;10;16;0.8032627403736115
800;10;16;0.790965499356389
800;10;16;0.7719701924361289
800;11;16;0.775052934885025
800;11;16;0.7863136758096516
800;11;16;0.7699855691753328
800;12;16;0.7268759598955512
800;12;16;0.7416912410408258
800;12;16;0.7239395705983043
800;13;16;0.7274400270543993
800;13;16;0.7136987750418484
800;13;16;0.7242374992929399
800;14;16;0.7333642770536244
800;14;16;0.7298130737617612
800;14;16;0.7357385512441397
800;15;16;0.7113026860170066
800;15;16;0.7115092552267015
