size;patch;nprocs;time
800;15;16;0.7147729960270226
800;16;16;0.7343269921839237
800;16;16;0.7277633068151772
800;16;16;0.7470175549387932
800;17;16;0.7087195003405213
800;17;16;0.7273335340432823
800;17;16;0.7066979217343032
800;18;16;0.7008385430090129
800;18;16;0.7211737250909209
800;18;16;0.7053795196115971
800;19;16;0.704965204000473
800;19;16;0.7185817346908152
800;19;16;0.7119517708197236
800;20;16;0.7045390028506517
800;20;16;0.7090244409628212
800;20;16;0.6993431178852916
800;21;16;0.7067825132980943
800;21;16;0.7152607310563326
800;21;16;0.7141714952886105
800;22;16;0.7289159940555692
800;22;16;0.7070880490355194
800;22;16;0.7090400322340429
800;23;16;0.7122855372726917
800;23;16;0.7262964779511094
800;23;16;0.7180132349021733
800;24;16;0.7030764939263463
800;24;16;0.7233439306728542
800;24;16;0.7046146122738719
800;25;16;0.7067729285918176
800;25;16;0.7068284871056676
800;25;16;0.7069635195657611
800;26;16;0.7092408840544522
800;26;16;0.7142819189466536
800;26;16;0.7060380070470273
800;27;16;0.7240377422422171
800;27;16;0.703698709141463
800;27;16;0.7189373909495771
800;28;16;0.7107441178523004
800;28;16;0.7102009649388492
800;28;16;0.7038759361021221
800;29;16;0.7044810829684138
800;29;16;0.7004124890081584
800;29;16;0.7011993718333542
800;30;16;0.7012511510401964
800;30;16;0.7043010322377086
800;30;16;0.7103770151734352
